Newspaper	newspaperok	start	end	nbArt	Ctry	jrnl	datesemaine
Vancouver Sun	Vancouver Sun	12/03/2012	18/03/2012	1	CAN	5	1210
Diario Financiero (Chile, Spanish Language)	Diario Financiero	19/03/2012	25/03/2012	1	CHL	5	1211
El Comercio (Peru, Spanish Language)	El Comercio (Peru)	19/03/2012	25/03/2012	1	PER	5	1211
La Nación (Argentina, Spanish Language)	La Nación	19/03/2012	25/03/2012	1	ARG	5	1211
La Repubblica (Italian Language)	La Repubblica	19/03/2012	25/03/2012	3	ITA	5	1211
The Age (Melbourne, Australia)	The Age	19/03/2012	25/03/2012	1	AUS	5	1211
The Guardian (U.K.)	The Guardian	19/03/2012	25/03/2012	2	GBR	5	1211
The Irish Times	The Irish Times	19/03/2012	25/03/2012	1	IRL	5	1211
The Washington Times	The Washington Times	19/03/2012	25/03/2012	1	USA	5	1211
TODAY (Singapore)	TODAY	19/03/2012	25/03/2012	1	SGP	5	1211
Business Line (The Hindu) (India)	Business Line	26/03/2012	01/04/2012	1	IND	5	1212
El Nacional (Venezuela, Spanish Language)	El Nacional	26/03/2012	01/04/2012	1	VEN	5	1212
La Repubblica (Italian Language)	La Repubblica	26/03/2012	01/04/2012	4	ITA	5	1212
Le Temps (French Language)	Le Temps	26/03/2012	01/04/2012	1	CHE	5	1212
Straits Times	Straits Times	26/03/2012	01/04/2012	1	SGP	5	1212
taz - die tageszeitung (German Language)	taz - die tageszeitung	26/03/2012	01/04/2012	1	DEU	5	1212
The Wall Street Journal Asia	The Wall Street Journal Asia	26/03/2012	01/04/2012	1	HKG	5	1212
The Wall Street Journal Online	The Wall Street Journal Online	26/03/2012	01/04/2012	1	USA	5	1212
The Korea Herald	The Korea Herald	02/04/2012	08/04/2012	1	KOR	5	1213
Financial Times Deutschland (German Language)	Financial Times Deutschland	09/04/2012	15/04/2012	2	DEU	5	1214
Taipei Times	Taipei Times	09/04/2012	15/04/2012	1	TWN	5	1214
The Wall Street Journal Asia	The Wall Street Journal Asia	09/04/2012	15/04/2012	1	HKG	5	1214
China Daily	China Daily	16/04/2012	22/04/2012	1	CHN	5	1215
China Daily - Hong Kong Edition	China Daily - Hong Kong Edition	16/04/2012	22/04/2012	1	HKG	5	1215
Taipei Times	Taipei Times	16/04/2012	22/04/2012	1	TWN	5	1215
The Australian Financial Review	The Australian Financial Review	16/04/2012	22/04/2012	1	AUS	5	1215
The Globe and Mail (Canada)	The Globe and Mail	16/04/2012	22/04/2012	1	CAN	5	1215
businesswatch.21cbh.com	businesswatch.21cbh.com	23/04/2012	29/04/2012	1	CHN	5	1216
China Daily	China Daily	23/04/2012	29/04/2012	1	CHN	5	1216
China Daily - Hong Kong Edition	China Daily - Hong Kong Edition	23/04/2012	29/04/2012	2	HKG	5	1216
Hindustan Times	Hindustan Times	23/04/2012	29/04/2012	1	IND	5	1216
MyPaper	MyPaper	23/04/2012	29/04/2012	1	SGP	5	1216
People’s Daily Online (Spanish Language)	People’s Daily Online	23/04/2012	29/04/2012	2	CHN	5	1216
Shanghai Daily	Shanghai Daily	23/04/2012	29/04/2012	1	CHN	5	1216
Shenzhen Daily	Shenzhen Daily	23/04/2012	29/04/2012	2	CHN	5	1216
The New Zealand Herald	The New Zealand Herald	23/04/2012	29/04/2012	1	NZL	5	1216
The Sydney Morning Herald	The Sydney Morning Herald	23/04/2012	29/04/2012	1	AUS	5	1216
The Washington Post	The Washington Post	23/04/2012	29/04/2012	1	USA	5	1216
TODAY (Singapore)	TODAY	23/04/2012	29/04/2012	1	SGP	5	1216
Der Tagesspiegel (German Language)	Der Tagesspiegel	30/04/2012	06/05/2012	1	DEU	5	1217
El Cronista Comercial (Spanish Language)	El Cronista Comercial	30/04/2012	06/05/2012	1	ARG	5	1217
The Australian Financial Review	The Australian Financial Review	30/04/2012	06/05/2012	1	AUS	5	1217
The Philadelphia Inquirer	The Philadelphia Inquirer	30/04/2012	06/05/2012	1	USA	5	1217
The Wall Street Journal	The Wall Street Journal	30/04/2012	06/05/2012	1	USA	5	1217
The Wall Street Journal Asia	The Wall Street Journal Asia	30/04/2012	06/05/2012	1	HKG	5	1217
Times Of Oman	Times Of Oman	30/04/2012	06/05/2012	1	OMN	5	1217
TODAY (Singapore)	TODAY	30/04/2012	06/05/2012	1	SGP	5	1217
businesswatch.21cbh.com	businesswatch.21cbh.com	07/05/2012	13/05/2012	1	CHN	5	1218
Charleston Gazette	Charleston Gazette	07/05/2012	13/05/2012	1	USA	5	1218
Financial Express (India)	Financial Express	07/05/2012	13/05/2012	1	IND	5	1218
Global Times (National Edition)	Global Times	07/05/2012	13/05/2012	2	CHN	5	1218
International Herald Tribune	International Herald Tribune	07/05/2012	13/05/2012	1	USA	5	1218
Libération (French Language)	Libération	07/05/2012	13/05/2012	1	FRA	5	1218
The Age (Melbourne, Australia)	The Age	07/05/2012	13/05/2012	1	AUS	5	1218
Times Record News (Wichita Falls, Texas)	Times Record News	07/05/2012	13/05/2012	1	USA	5	1218
International Herald Tribune	International Herald Tribune	14/05/2012	20/05/2012	1	USA	5	1219
Le Figaro (French Language)	Le Figaro	14/05/2012	20/05/2012	1	FRA	5	1219
Ming Pao Daily News (Chinese Language - Traditional)	Ming Pao Daily News	14/05/2012	20/05/2012	1	HKG	5	1219
National Post (Canada)	National Post	14/05/2012	20/05/2012	1	CAN	5	1219
Straits Times	Straits Times	14/05/2012	20/05/2012	1	SGP	5	1219
Financial Times Deutschland (German Language)	Financial Times Deutschland	21/05/2012	27/05/2012	1	DEU	5	1220
Khaleej Times	Khaleej Times	21/05/2012	27/05/2012	1	ARE	5	1220
New Indian Express	New Indian Express	21/05/2012	27/05/2012	1	IND	5	1220
USA Today	USA Today	21/05/2012	27/05/2012	1	USA	5	1220
